Region,Month,Variable,Confidence Interval
NortSan,5,Call_HDD,"(-23.462049804114642, 23.462049804114642)"
NortSan,5,Put_HDD,"(25.870456432051288, 46.13868583739671)"
NortSan,5,Call_CDD,"(8.380953564070158, 53.41883602668551)"
NortSan,5,Put_CDD,"(-10.419826970359503, 10.419826970359503)"
NortSan,6,Call_HDD,"(-23.849878554081734, 23.849878554081734)"
NortSan,6,Put_HDD,"(41.4564989087462, 62.0597630676596)"
NortSan,6,Call_CDD,"(149.25849799706862, 195.04085870444408)"
NortSan,6,Put_CDD,"(-10.592067183918303, 10.592067183918303)"
NortSan,7,Call_HDD,"(-23.462049804114642, 23.462049804114642)"
NortSan,7,Put_HDD,"(61.0719264669854, 81.34015587233081)"
NortSan,7,Call_CDD,"(87.00492295354769, 132.04280541616305)"
NortSan,7,Put_CDD,"(-10.419826970359503, 10.419826970359503)"
NortSan,8,Call_HDD,"(-23.462049804114642, 23.462049804114642)"
NortSan,8,Put_HDD,"(64.80426678785486, 85.07249619320027)"
NortSan,8,Call_CDD,"(151.46460263548408, 196.50248509809944)"
NortSan,8,Put_CDD,"(-10.419826970359503, 10.419826970359503)"
NortSan,9,Call_HDD,"(-23.849878554081734, 23.849878554081734)"
NortSan,9,Put_HDD,"(-3.0387479692136203, 17.56451618969978)"
NortSan,9,Call_CDD,"(-22.891180353687723, 22.891180353687723)"
NortSan,9,Put_CDD,"(25.64123712943134, 46.825371497267945)"
NortSan,10,Call_HDD,"(-5.850889555180796, 41.073210053048484)"
NortSan,10,Put_HDD,"(-10.134114702672708, 10.134114702672708)"
NortSan,10,Call_CDD,"(65.2678926875337, 110.30577515014906)"
NortSan,10,Put_CDD,"(-10.419826970359503, 10.419826970359503)"
NortSan,11,Call_HDD,"(95.69254778224285, 143.3923048904063)"
NortSan,11,Put_HDD,"(-10.3016320794567, 10.3016320794567)"
NortSan,11,Call_CDD,"(-22.891180353687723, 22.891180353687723)"
NortSan,11,Put_CDD,"(60.04989801460914, 81.23403238244575)"
NortSan,12,Call_HDD,"(144.96846400604835, 191.8925636142776)"
NortSan,12,Put_HDD,"(-10.134114702672708, 10.134114702672708)"
NortSan,12,Call_CDD,"(-22.51894123130768, 22.51894123130768)"
NortSan,12,Put_CDD,"(62.47524901407369, 83.3149029547927)"
Tolima,1,Call_HDD,"(28.290768529525856, 100.2034313613205)"
Tolima,1,Put_HDD,"(-10.207895236589488, 10.207895236589488)"
Tolima,1,Call_CDD,"(-33.119920660742594, 33.119920660742594)"
Tolima,1,Put_CDD,"(3.8696975650114096, 19.70419544801224)"
Tolima,2,Call_HDD,"(68.63791024555567, 142.98897946828757)"
Tolima,2,Put_HDD,"(-10.554023387081406, 10.554023387081406)"
Tolima,2,Call_CDD,"(-34.24294716297892, 34.24294716297892)"
Tolima,2,Put_CDD,"(61.19280805688547, 77.56422029286338)"
Tolima,3,Call_HDD,"(-20.172762536909698, 51.73990029488493)"
Tolima,3,Put_HDD,"(-10.207895236589488, 10.207895236589488)"
Tolima,3,Call_CDD,"(14.909915558267784, 81.14975687975297)"
Tolima,3,Put_CDD,"(-7.917248941500415, 7.917248941500415)"
Tolima,4,Call_HDD,"(-36.55069120896127, 36.55069120896127)"
Tolima,4,Put_HDD,"(19.680626227045522, 40.433890644952655)"
Tolima,4,Call_CDD,"(3.309766847961832, 70.64455575809396)"
Tolima,4,Put_CDD,"(-8.048121426462146, 8.048121426462146)"
Tolima,5,Call_HDD,"(-21.38487532265357, 50.52778750914106)"
Tolima,5,Put_HDD,"(-10.207895236589488, 10.207895236589488)"
Tolima,5,Call_CDD,"(-33.119920660742594, 33.119920660742594)"
Tolima,5,Put_CDD,"(24.158300545298342, 39.992798428299174)"
Tolima,6,Call_HDD,"(-36.55069120896127, 36.55069120896127)"
Tolima,6,Put_HDD,"(52.42120831127014, 73.17447272917727)"
Tolima,6,Call_CDD,"(65.79348945956141, 133.12827836969353)"
Tolima,6,Put_CDD,"(-8.048121426462146, 8.048121426462146)"
Tolima,7,Call_HDD,"(-35.95633141589732, 35.95633141589732)"
Tolima,7,Put_HDD,"(28.712465738560716, 49.12825621173969)"
Tolima,7,Call_CDD,"(104.53389087048666, 170.77373219197185)"
Tolima,7,Put_CDD,"(-7.917248941500415, 7.917248941500415)"
Tolima,8,Call_HDD,"(-35.95633141589732, 35.95633141589732)"
Tolima,8,Put_HDD,"(64.31524220769512, 84.73103268087411)"
Tolima,8,Call_CDD,"(269.10448978578125, 335.34433110726644)"
Tolima,8,Put_CDD,"(-7.917248941500415, 7.917248941500415)"
Tolima,9,Call_HDD,"(-36.55069120896127, 36.55069120896127)"
Tolima,9,Put_HDD,"(55.29061967838176, 76.04388409628889)"
Tolima,9,Call_CDD,"(168.6023137874924, 235.93710269762454)"
Tolima,9,Put_CDD,"(-8.048121426462146, 8.048121426462146)"
Tolima,10,Call_HDD,"(234.86053689704724, 306.77319972884186)"
Tolima,10,Put_HDD,"(-10.207895236589488, 10.207895236589488)"
Tolima,10,Call_CDD,"(-33.119920660742594, 33.119920660742594)"
Tolima,10,Put_CDD,"(30.519772297705497, 46.35427018070633)"
Tolima,11,Call_HDD,"(235.47207639808016, 308.5734588160027)"
Tolima,11,Put_HDD,"(-10.376632208953566, 10.376632208953566)"
Tolima,11,Call_CDD,"(-33.667394455066066, 33.667394455066066)"
Tolima,11,Put_CDD,"(35.6724387621164, 51.76868161504069)"
Tolima,12,Call_HDD,"(145.03850200379662, 216.95116483559127)"
Tolima,12,Put_HDD,"(-10.207895236589488, 10.207895236589488)"
Tolima,12,Call_CDD,"(-12.057577994519626, 54.18226332696556)"
Tolima,12,Put_CDD,"(-7.917248941500415, 7.917248941500415)"
